
2025/03/07 (21:35:47) | ===> btop++ v.1.4.0
2025/03/07 (21:35:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (07:33:43) | ===> btop++ v.1.4.0
2025/03/08 (07:33:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (19:47:09) | ===> btop++ v.1.4.0
2025/03/12 (19:47:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:38:10) | ===> btop++ v.1.4.0
2025/03/12 (20:38:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:54:29) | ===> btop++ v.1.4.0
2025/03/12 (20:54:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:05:48) | ===> btop++ v.1.4.0
2025/03/12 (21:05:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/12 (21:05:59) | WARNING: Failed to join _runner thread on exit!

2025/03/12 (21:08:27) | ===> btop++ v.1.4.0
2025/03/12 (21:08:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:13:55) | ===> btop++ v.1.4.0
2025/03/12 (21:13:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:14:16) | ===> btop++ v.1.4.0
2025/03/12 (21:14:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:17:19) | ===> btop++ v.1.4.0
2025/03/12 (21:17:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (17:38:19) | ===> btop++ v.1.4.0
2025/03/19 (17:38:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (17:50:43) | ===> btop++ v.1.4.0
2025/03/19 (17:50:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (22:25:15) | ===> btop++ v.1.4.0
2025/03/19 (22:25:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (20:43:13) | ===> btop++ v.1.4.0
2025/03/21 (20:43:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (20:44:17) | ===> btop++ v.1.4.0
2025/03/21 (20:44:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (20:44:43) | ===> btop++ v.1.4.0
2025/03/21 (20:44:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (20:45:26) | ===> btop++ v.1.4.0
2025/03/21 (20:45:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (23:31:41) | ===> btop++ v.1.4.0
2025/03/22 (23:31:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/22 (23:33:23) | WARNING: Failed to join _runner thread on exit!
